objectid,description,date,author,title,language,location,keywords 1,keywords 2,keywords 3,keywords 4,keywords 5,keywords 6,keywords 7,keywords 8,keywords 9,keywords 10,keywords 11,keywords 12,keywords 13,keywords 14,keywords 15,keywords 16,keywords 17,keywords 18,keywords 19,keywords 20,keywords 21,keywords 22,keywords 23,keywords 24,keywords 25,keywords 26,keywords 27,keywords 28,keywords 29,keywords 30,keywords 31,keywords 32,keywords 33,keywords 34,keywords 35,keywords 36,keywords 37,keywords 38,keywords 39,keywords 40,keywords 41,keywords 42,keywords 43,keywords 44,keywords 45,keywords 46,keywords 47,keywords 48,keywords 49,keywords 50,keywords 51,keywords 52,keywords 53,keywords 54,keywords 55,keywords 56,keywords 57,keywords 58,keywords 59,keywords 60,keywords 61,keywords 62,keywords 63,keywords 64,keywords 65,keywords 66,keywords 67,keywords 68,keywords 69,keywords 70,keywords 71,keywords 72,keywords 73,keywords 74,keywords 75,keywords 76,keywords 77,keywords 78,keywords 79,keywords 80,keywords 81,keywords 82,keywords 83,keywords 84,keywords 85,keywords 86,keywords 87,keywords 88,keywords 89,keywords 90,keywords 91,keywords 92,keywords 93,keywords 94,keywords 95,keywords 96,keywords 97,keywords 98,keywords 99,keywords 100,keywords 101,keywords 102,keywords 103,keywords 104,keywords 105,keywords 106,keywords 107,keywords 108,keywords 109,keywords 110,keywords 111,keywords 112,keywords 113,keywords 114,keywords 115,keywords 116,keywords 117,keywords 118,keywords 119,keywords 120,keywords 121,keywords 122,keywords 123,keywords 124,keywords 125,keywords 126,abstract_note,publication_title,isbn,issn,doi,url,pages,issue,volume,number_of_volumes,publisher,Rights,Type,Archive,Archive Location,Extra,File Attachments,Link Attachments,format,Column,Column2,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24
db0406,Journal Article,2023,"Ramos, Jefert Alan Santanelli; Iared, Valéria Ghisloti",Análise da percepção da população sobre o meio ambiente em um munícipio no oeste do Paraná,pt,Brasil,pesquisa de opinião,percepção ambiental,ambiente e sociedade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Visando investigar a percepção da população diante dos temas ambientais, elaboramos um questionário, baseado na pesquisa realizada em 2012, intitulada O que o brasileiro pensa sobre o meio ambiente e o consumo sustentável. O roteiro contou com 19 questões com várias alternativas, sendo aplicado com 42 pessoas de diversas faixas etárias, variando de 18 a 78 anos no município de Palotina, oeste do Paraná. Os locais escolhidos para o desenvolvimento da pesquisa foram praças públicas com atrativos culturais e recreativos na cidade e, portanto, com um grande fluxo de pessoas. A pesquisa foi realizada nos meses de dezembro de 2022 a janeiro de 2023. Os resultados apontaram que os munícipes buscam por informações referentes as questões ambientais na internet e reconhecem alguns temas ambientais, como desenvolvimento sustentável, áreas protegidas e destruição da biodiversidade. Todavia, quando questionados sobre a conceituação dos termos, muitos respondentes não souberam desenvolver a ideia ou opinar sobre o assunto. Foi possível observar que os entrevistados estão cientes dos problemas ambientais de sua região e no Brasil, porém, as medidas que podem e poderiam ser tomadas diante desses problemas, e de quem é a responsabilidade pela solução desses problemas demonstram pouco potencial de mobilização social. Essa percepção e empatia em relação à questão ambiental e compreensão superficial de quais são as possibilidades de enfrentamento são recorrentes em outras pesquisar realizadas no Brasil. A educação ambiental enquanto política pública que promova a mobilização e transformação social é uma das possibilidades para enfrentamento dessa situação apontada nos resultados.",Revista de Tecnologia & Gestão Sustentável,,2764-6769,10.17271/rtgs.v2i5.3722,https://publicacoes.amigosdanatureza.org.br/index.php/rtgs/article/view/3722,,5,2,,,https://creativecommons.org/licenses/by-nc-sa/4.0,,,,Number: 5,/Users/juliabelden/Zotero/storage/Z9NRC9VP/Ramos and Iared - 2023 - Análise da percepção da população sobre o meio ambiente em um munícipio no oeste do Paraná.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0407,Journal Article,2019,"Rodrigues, Louise Nogueira; Torres, Claudia Thayse Machado; Abreu, Emilly Gabrielle Do Nascimento; Mochel, Flavia Rebelo",PERCEPÇÃO AMBIENTAL E A INFLUÊNCIA DA ESCOLARIDADE DE VENDEDORES AMBULANTES DO CENTRO HISTÓRICO NO MUNICÍPIO DE SÃO LUÍS – MA,pt,Brasil,consciência ambiental,idade,nível educacional,resíduos sólidos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"A intensa urbanização verificada nos últimos anos tem exigido cada vez mais uma eficiente gestão socioambiental nos centros urbanos, onde em casos&nbsp; negativos este aspecto pode influenciar sensivelmente os espaços públicos resultando na má qualidade de vida na cidade, ocasionando diversas doenças&nbsp; provenientes da poluição gerada em centros urbanos, onde há a interação interculturais em um ambiente comercial e social. A rotina trabalhista influência direta ou indiretamente o ambiente do entorno, impactando a qualidade de vida dos mesmos, potencializando riscos à saúde pública, degradação ambiental, sem desconsiderar aspectos sociais, econômicos e administrativos. Desta forma, o presente estudo expõe a dinamicidade que a intensificação urbana pode gerar em&nbsp; centros urbanos, inserindo a “categoria” de vendedores ambulantes como um agente pleno e influenciador, observando a percepção do indivíduo com o seu ambiente de trabalho na consciência ambiental e inferindo a influência do nível educacional e da idade, relacionando os efeitos que esta tem na percepção&nbsp; socioeconômica e de que maneiras isso pode afetar a gestão pública e a qualidade de vida da população. Para o desenvolvimento do trabalho, o método&nbsp; utilizado foi o exploratório e descritivo, pautado na aplicação de questionários priorizando a caracterização da consciência ambiental do vendedor ambulante e a influência dos dados de escolaridade e idade em sua percepção do meio. Entre outros instrumentos, foi utilizado o Quantum Gis 2.14 e imagem de satélite&nbsp; Sentinel 2, sensor MSI , para mapear o deslocamento em raios que o ambulante faz diariamente de sua casa para o trabalho. Sendo assim com os dados gerados seria possível modelar uma gestão dos recursos e fomento de políticas públicas aplicáveis, isso pelo fato de detectar a compreensão do pensamento dos&nbsp; indivíduos a fim de formular mecanismos que venham a promover tomadas de decisão voltadas à sensibilização da população estudada.",Revista Eletrônica Casa de Makunaima,,2595-5888,10.24979/makunaima.v2i4.686,https://periodicos.uerr.edu.br/index.php/casa_de_makunaima/article/view/686,96-104,4,2,,,,,,,Number: 4,/Users/juliabelden/Zotero/storage/I78QIZ92/Rodrigues et al. - 2019 - PERCEPÇÃO AMBIENTAL E A INFLUÊNCIA DA ESCOLARIDADE DE VENDEDORES AMBULANTES DO CENTRO HISTÓRICO NO M.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0408,Journal Article,2020,"Santos, Giulia Roriz Dos; Tolentino, Júlia; Mol, Marcos",Percepção de funcionários em uma instituição pública acerca da gestão de resíduos sólidos e os seus riscos à saúde humana,pt,Brasil,percepção,resíduos sólidos,resíduos de serviços de saúde,saúde,instituição pública,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O gerenciamento incorreto dos resíduos de serviços de saúde (RSS) apresenta potencial para gerar impactos negativos à saúde humana e ao meio ambiente. Práticas corretas de segregação aliadas à educação ambiental podem reduzir estes danos. Diante disso, o presente estudo teve como objetivo analisar a percepção dos servidores de umainstituição pública de ciência, saúde e tecnologia sobre o gerenciamento dos RSS e seus impactos à saúde. Participaram da pesquisa 101 funcionários dessa instituição, através da aplicação de questionários. Observou-se o nível de conhecimento em relação à classificação dos RSS, ao descarte e à geração de resíduos, e se as etapas do gerenciamento afetam a saúde humana devido ao contato físico com esses resíduos. Foi constatada a existência de significativo conhecimento sobre o tema, mas ainda há a necessidade de continuação dos programas de conscientização e desenvolvimento de práticas adequadas ao gerenciamento dos RSS",Pesquisa em Educação Ambiental,,2177-580X,10.18675/2177-580X.2020-14227,https://www.periodicos.rc.biblioteca.unesp.br/index.php/pesquisa/article/view/14227,100-113,2,15,,,Copyright (c) 2020 Pesquisa em Educação Ambiental,,,,Number: 2,/Users/juliabelden/Zotero/storage/YZTE6VBE/Santos et al. - 2020 - Percepção de funcionários em uma instituição pública acerca da gestão de resíduos sólidos e os seus.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0409,Journal Article,2023,"Oliveira, Danielle Fernandes De Araújo; Garcia, Francisca Lúcia França; Barros, Hellen Chrystianne Lucio",Relação infância e natureza: a percepção de crianças acerca do meio ambiente e cuidado ambiental,pt,Brasil,cuidado ambiental,percepção ambiental,crianças,roda de conversa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The study aimed to understand children's perceptions about the environment and environmental care. This qualitative and exploratory research had the participation of 26 children enrolled in the 5th year of a public school. Data were collected through the conversation wheel mediated by ludic resources and interpreted from the thematic content analysis with an interpretative basis. The results were presented from the following axes: a) definitions of environmental care; b) affections related to environmental care; c) environmental care actions; d) environmental care: child versus adult. It is concluded that children understand and practice care actions, becoming agents that promote environmental education among peers and adults.",Revista Brasileira de Educação Ambiental (RevBEA),,1981-1764,10.34024/revbea.2023.v18.14675,https://periodicos.unifesp.br/index.php/revbea/article/view/314-324,,5,18,,,Copyright (c) 2023 Revista Brasileira de Educação Ambiental (RevBEA),,,,Number: 5,/Users/juliabelden/Zotero/storage/9TGP8CBV/Oliveira et al. - 2023 - Relação infância e natureza a percepção de crianças acerca do meio ambiente e cuidado ambiental.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0410,Journal Article,2018,"Oliveira, Lorena Macêdo A. N. De; Costa, Larissa Maria De Menezes; Elali, Gleice Azambuja",Percepção ambiental de estudantes sobre seu bairro,pt,Brasil,estudantes,percepção ambiental,relação escola-bairro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"As políticas brasileiras, no campo da educação, estimulam a relação escola-bairro como parte importante do processo educativo, para o que entendemos ser fundamental valorizar tanto as características do ambiente sócio físico, quanto a experiência das pessoas que ali convivem. Com base nesse quadro geral, investigamos a percepção dos estudantes sobre os locais onde moram e estudam, explorando os limites do bairro e como situam a escola nesse contexto. Metodologicamente foram utilizados diários pessoais com solicitação do desenho de mapas e entrevistas realizadas durante caminhadas pela área. Participaram 23 estudantes (15 mulheres e 7 homens), com idades entre 13 e 17 anos, matriculados no 9º ano do ensino fundamental de uma escola pública do bairro Guarapes, Natal-RN. Os resultados mostram sua percepção sobre a setorização do espaço, a predominância de descrições gráficas relativas ao centro do bairro e dificuldades no reconhecimento de mudanças previstas para acontecerem naquela zona urbana.",Estudos e Pesquisas em Psicologia,,1808-4281,10.12957/epp.2018.38806,https://www.e-publicacoes.uerj.br/revispsi/article/view/38806,446-465,2,18,,,Copyright (c) 2018 Estudos e Pesquisas em Psicologia,,,,Number: 2,/Users/juliabelden/Zotero/storage/TD3W6AZQ/Oliveira et al. - 2018 - Percepção ambiental de estudantes sobre seu bairro.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0411,Journal Article,2021,"Ramos, Albanice Souza Dos; Saldanha, Larissa De Souza; Nogueira, Eulina Maria Leite; Lima, Renato Abreu",Percepção ambiental de educadores do campo e suas influências no processo educacional em uma escola do município de Humaitá-AM,pt,Brasil,percepção ambiental,preservação,natureza,educadoresdo campo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Environmental perception is a mental activity of interaction of the individual as a means that can be defined as an awareness of the environment by the human being. Thus, this research aimed to analyze the environmental perception of rural educators and their influences on the educational process, in the Cristolândia Community in Humaitá-AM. It was developed through a field research with educators from the Antonieta Ataíde II Municipal school in the public school system. In this sense, the data were collected through semi-structured interviews, in addition to the direct observation that was necessary to establish their relationship with environmental issues and educational processes. Through data analysis it was found that educators have a naturalistic view, that is, they perceive the environment in a natural way, untouchable with all its biodiversity. However, it is expected that the results achieved with this research will contribute significantly to the change in environmental preservation and conservation actions in the local community, where some environmental problems were detected, such as the lack of basic sanitation and the lack of garbage collection. . Above all, providing subsidies for them to see and feel the need to preserve the environment where they live and especially the importance of changing habits and attitudes for a better quality of life. In addition, the results of this study can be used as a basis for the elaboration of an education program for the development of the Cristolândia Community, in order to propose strategies leading to a greater environmental awareness.",Pesquisa em Educação Ambiental,,2177-580X,10.18675/2177-580X.2021-14932,https://www.periodicos.rc.biblioteca.unesp.br/index.php/pesquisa/article/view/14932,160-177,1,16,,,Copyright (c) 2021 Pesquisa em Educação Ambiental,,,,Number: 1,/Users/juliabelden/Zotero/storage/XD274979/Ramos et al. - 2021 - Percepção ambiental de educadores do campo e suas influências no processo educacional em uma escola.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0412,Journal Article,2024,"Silva, Aldeíze Bonifácio Da; Camelo, Gerda Lúcia Pinheiro",A percepção ambiental como ferramenta de análise no estudo dos impactos da atividade agrícola no município de Pitimbu/PB,pt,Brasil,impacto ambiental,agricultura,percepção ambiental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This article, which addresses the society-nature relationship within a territory marked by agricultural activity, aims to analyze the environmental perception of the population on the environmental impacts arising from agriculture in the municipality of Pitimbu/PB. The methodological procedures used were bibliographical, documental and empirical research. The results indicate that, despite living in a municipality with numerous agricultural properties and surrounded by monoculture sugarcane plantations, the population cannot correlate the environmental impacts existing in Pitimbu/PB with the agriculture developed in the municipality. It is observed that, although the agricultural practice is an activity of high impact on the environment, the main impacts identified were the inadequate disposal of solid waste and water pollution, associated, above all, with the lack of awareness of the population and the tourist activity. With regard to agriculture, the population can associate air pollution with the fires that occur on agricultural properties. Moreover, despite the understanding shown by the population of the need to adjust their attitudes towards the environment, the public sphere is still seen as the main responsible for the resolution of environmental issues, whether by promoting environmental education campaigns, greater public investments or greater supervision of the competent bodies.",Geografia Ensino & Pesquisa,,2236-4994,10.5902/2236499484717,https://periodicos.ufsm.br/geografia/article/view/84717,e84717-e84717,,28,,,Copyright (c) 2024 Geografia Ensino & Pesquisa,,,,,/Users/juliabelden/Zotero/storage/QWWS6XLN/Silva and Camelo - 2024 - A percepção ambiental como ferramenta de análise no estudo dos impactos da atividade agrícola no mun.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0413,Journal Article,2022,"Oliveira, Verushka Goldschmidt Xavier De; Brose, Markus",PERCEPÇÃO AMBIENTAL DOS USUÁRIOS DA ÁGUA DA BACIA HIDROGRÁFICA DO RIO PARDO/RS: AS ESTIAGENS NO PERÍODO 2010 A 2020,pt,Brasil,percepção ambiental,bacia hidrográfica rio pardo,estiagem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Esta investigación tuvo como tema la percepción ambiental de los usuarios del agua sobre las sequías. En la última década, dos sequías más expresivas provocaron pérdidas importantes en la economía de los municipios del estado de Rio Grande do Sul debido a la falta de recursos hídricos para el riego en la agricultura y el compromiso del abastecimiento público. Dado que el tema de la sequía está asociado con la disponibilidad de agua, la cuenca hidrográfica fue incluida como un área de planificación en la investigación, según lo recomendado por la Ley Federal 9433/1997, que trata de la Política Nacional de Recursos Hídricos. El objetivo de esta investigación fue investigar la percepción ambiental de los usuarios del agua en la cuenca del Río Pardo sobre las sequías en el período 2010 a 2020. El método de enfoque utilizado fue referenciado en Sociología Ambiental. De acuerdo con las respuestas obtenidas, se pudo constatar que no existe una política pública específica para sequías, pero que existen acciones de emergencia a nivel estatal y municipal para mitigar los problemas derivados del fenómeno. Los encuestados perciben los efectos de la sequía en su vida profesional y personal, pero aún están enfocados en las acciones de emergencia que ofrecen las instituciones estatales. Se encontró que la tendencia de la solución más utilizada al problema es la que está siendo puesta a disposición por la alcaldía o el gobierno estatal, como la perforación de más pozos artesianos y la donación de cisternas. La existencia de políticas públicas para la gestión del agua, como la Ley Federal 9.433 / 1997, no fue mencionada por ellos como una medida de articulación de distintas instituciones para mitigar los efectos de las sequías. No se mencionaron medidas para adaptarse al evento climático. &nbsp; &nbsp;",GEOFRONTER,,2447-9195,10.61389/geofronter.v8.6889,https://periodicosonline.uems.br/index.php/GEOF/article/view/6889,,,8,,,Copyright (c) 2022,,,,,/Users/juliabelden/Zotero/storage/6Y6RKJQK/Oliveira and Brose - 2022 - PERCEPÇÃO AMBIENTAL DOS USUÁRIOS DA ÁGUA DA BACIA HIDROGRÁFICA DO RIO PARDORS AS ESTIAGENS NO PERÍ.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0414,Journal Article,2015,"Santos, Priscila Mari Dos; Silva, Bianca Pereira Da; Parcias, Silvia Rosane; Marinho, Alcyane",Hábitos e percepção socioambiental de acadêmicos do curso de bacharelado em educação física de uma universidade pública de Santa Catarina,pt,Brasil,ambiente,educação ambiental,percepção,educação física,hábitos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"This study aimed to investigate the habits and the environmental awareness of students ofBachelor of Physical Education at a public university in Santa Catarina. We conducted anexploratory descriptive research with quantitative and qualitative approaches. As aninstrument of data collection, a suitable base instruments of environmental perception ofthe Center for Studies in Environmental Perception of Brazilian College UNIVIXquestionnaire was used. Participated voluntarily in the study 105 students enrolled in the2nd stage onwards in the course of Bachelor of Physical Education. The data collectedwere analyzed using descriptive statistics (quantitative approach) and using the techniqueof content analysis (qualitative approach). The results indicate, among other things, thatmost academics have interest in issues related to environmental theme, although I believethat the university does not prepare future professionals to deal with the issue. Althoughmost students have entered notice the lights on in different campuses, and at all times ofthe day, many continue playing this habit. It seems that the necessary changes inenvironmental context depend on changes in the physical and material conditions as wellas the acquisition of knowledge on the subject.",Conexões,,1983-9030,10.20396/conex.v13i2.8640654,https://periodicos.sbu.unicamp.br/ojs/index.php/conexoes/article/view/8640654,29-53,2,13,,,Copyright (c) 2018 Conexões,,,Não se aplica,Number: 2,/Users/juliabelden/Zotero/storage/DH7NGAPW/Santos et al. - 2015 - Hábitos e percepção socioambiental de acadêmicos do curso de bacharelado em educação física de uma u.pdf,,record,,,,,,,,,,,,,,,,,,,,,,
db0415,Journal Article,2021,"Santos, Diego Matos Dos; Oliveira, Leandro José De; Andrade, Ana Paula Silva De; Junior, Carlos Rezende De Pádua; Melo, Sônia Aparecida Beato Ximenes De","RESÍDUOS SÓLIDOS URBANOS (RSU): PERCEPÇÃO AMBIENTAL DOS MORADORES DO BAIRRO MARACANÃ, BARRA DO BUGRES - MT",pt,Brasil,gestão dos resíduos sólidos,políticas públicas,educação ambiental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"O presente trabalho foi desenvolvido com a perspectiva de investigar a forma como os moradores e a administração pública da cidade de Barra do Bugres-MT tratam os resíduos sólidos urbanos, pois questões relacionadas aos problemas ambientais vem ganhando destaque na sociedade contemporânea. Nesse contexto, este trabalho objetivou analisar a percepção ambiental dos moradores do bairro Maracanã no município de Barra do Bugres-MT, em relação aos Resíduos Sólidos Urbanos (RSU). A pesquisa foi estruturada de forma qualiquantitativa, tendo como instrumento de coleta de dados a aplicação de questionários semiestruturados. O período de aplicação dos questionários ocorreu entre os meses de abril e maio de 2020. No total foram aplicados a quantia de 117 questionários. Os resultados identificaram que 70,09% dos entrevistados acreditam que o poder público é responsável por coletar os resíduos sólidos urbanos, porém, 61,54% afirmam que é por falta de educação e/ou zelo dos moradores que os resíduos são jogados em lugares inapropriados. Para 51,28% dos respondentes a melhor solução para evitar os danos ambientais seria a fiscalização e multa. Nesse cenário, 52,99% dos respondentes relataram que o poder público poderia fazer mais pela cidade referente a questão ambiental, pois, 64,96% diz que não existe nenhuma política ou projeto para os RSU. O estudo revelou que na cidade não existe coleta seletiva, assim, é importante que o poder público desenvolva projetos como Ecopontos, programas e ações de Educação Ambiental que promovam à adequação dos procedimentos de coleta e destinação dos RSU.",Revista Estudo & Debate,,1983-036X,10.22410/issn.1983-036X.v28i3a2021.2773,https://www.univates.br/revistas/index.php/estudoedebate/article/view/2773,,3,28,,,"Copyright (c) 2021 Diego Matos dos Santos, Leandro José de Oliveira, Ana Paula Silva de Andrade, Carlos Rezende de Pádua Junior, Sônia Aparecida Beato Ximenes de Melo",,,,Number: 3,"/Users/juliabelden/Zotero/storage/IGJ6LZHZ/Santos et al. - 2021 - RESÍDUOS SÓLIDOS URBANOS (RSU) PERCEPÇÃO AMBIENTAL DOS MORADORES DO BAIRRO MARACANÃ, BARRA DO BUGRE.pdf",,record,,,,,,,,,,,,,,,,,,,,,,
db0416,Journal Article,2016,"Lennon, Federico Rey",RELACIONES PÚBLICAS Y MEDIOS SOCIALES DIGITALES,es,Argentina,social media,internet,medios sociales,redes sociales,digital,publicrelations,relaciones públicas,social web,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Estamos entrando en una nueva era de la comunicación humana; ya nada será igual al pasado. La comunicación “boca a oído” se extiende con una velocidad inusitada a través de los medios sociales digitales. Internet ha dejado de ser un medio alternativo de comunicación y hoy ocupa un lugar relevante en la vida de las personas. Una nueva sociedad está emergiendo al lado de la sociedad real. Se trata de la “sociedad digital”. Su territorio es el ciberespacio y su tiempo es el tiempo virtual. Por esa razón, se hace imprescindible que las relaciones públicas incorporen en sus estrategias a estos nuevos medios sociales y que la comunicación de la empresa con sus públicos objetivo sea dialógica, es decir, el profesional de relaciones públicas debe aprender a ""compartir"" el logos, no a imponerlo. A new era of human communication has started and nothing will be equal. The ""word of mouth"" communication extends with unusual speed through digital social media. Internet is not an alternative media anymore: The Web occupies a significant place in people’s lives. A new society is emerging next to real society, known as"" the digital society"". Its territory is the cyberspace and its time is virtual time. For this reason, it is necessary that public relations strategies include new digital social media. And it is also important that corporate communication with stakeholders takes a dialogical turn. Public Relations consultants should learn to “share” the discourse, not to impose it.",Revista de Investigación del Departamento de Humanidades y Ciencias Sociales,,,,https://www.redalyc.org/articulo.oa?id=581968936003,34-47,10,,,,,,Redalyc,,,,,record,,,,,,,,,,,,,,,,,,,,,,
db0417,Journal Article,2019,"Canaza-choque, Franklin Américo",DE LA EDUCACIÓN AMBIENTAL AL DESARROLLO SOSTENIBLE: DESAFÍOS Y TENSIONES EN LOS TIEMPOS DEL CAMBIO CLIMÁTICO,es,Peru,calentamiento de la tierra,cambio climático,climate change,desarrollo sostenible,educación ambiental,environmental education,global warming,justice,justicia,sustainable development,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"El Cambio Climático (cc) se ha convertido, en cierta forma, en la alarma y emergencia de proporciones multidimensionales que atañe a agencias globales, gobiernos, empresas y sociedades enteras con el propósito único de atemperar sus efectos devastadores y de un desenfrenado mundo-consumo en términos insostenibles. Bajo esas circunstancias, el estudio pretende reanalizar la importancia de la Educación Ambiental (ea) y del Desarrollo Sostenible (ds) en tiempos de desajustes climáticos y de emergencia planetaria. Por ello, acentuar y cristalizar estas alternancias en los sistemas educativos supone, desde un primer momento, denotar una ea que construya una conciencia ecológica en ciudadanas y ciudadanos de las distintas coordenadas del planeta. Como también, un ds que acoja los diferenciados problemas y vectores remarcados en la Agenda 2030, que simultáneamente, reconfiguren los estereotipos de consumo y de desarrollo económico en la búsqueda del balance entre la naturaleza y la especie humana, en especial, de volver a reconectar a este último, con el primero. Climate change (cc) has become, in a certain way, in the alarm and emergence of multidimensional proportions that concerns to global agencies, governments, companies and whole societies in the sole purpose of temper the devastating effects of this and of a rampant world-consumption in unsustainable terms. Under those circumstances, the study aims to reanalyze the importance of Environmental Education (ea) and Sustainable Development (ds) in times of climatic imbalances and of planetary emergency. Thus, accentuate and crystallize these alternations in the educational systems implies, from the start, to denote an ea that builds an ecological awareness in citizens of the different coordinates of the planet. As also, a ds that accepts the differentiated problems and vectors remarked in the Agenda 2030, which simultaneously, reconfigure the stereotypes of consumption and economic development in search of the balance between nature and the human species, especially, to re-connect to the latter, with the first.",Revista de Ciencias Sociales (Cr),,0482-5276,,https://www.redalyc.org/articulo.oa?id=15361603010,155-172,165,III,,,,,Redalyc,,,,,record,,,,,,,,,,,,,,,,,,,,,,
